Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,104.385757,104.684509,101.935944,103.130974,61.780460,3002334
2000-01-03,107.492828,110.898659,106.955070,110.898659,66.433670,10823694
2000-01-04,108.986618,109.464630,105.999046,107.134323,64.178680,8606279
2000-01-05,107.970840,114.483749,107.194077,110.898659,66.433670,13318927
2000-01-06,112.810707,113.706978,108.508606,108.986618,65.288261,8338607
2000-01-07,112.093689,112.750954,105.760040,108.508606,65.001907,12402108
2000-01-10,112.093689,114.125237,110.301147,112.810707,67.579079,8933363
2000-01-11,112.691208,115.798279,111.496178,113.766731,68.151794,8235472
2000-01-12,114.364243,116.634796,113.049713,114.244743,68.438156,7116775
2000-01-13,114.663002,115.678780,110.659653,113.049713,67.722282,8880226
2000-01-14,115.619026,117.889580,112.332695,114.364243,68.509727,11460604
2000-01-18,114.423996,114.483749,109.942642,110.659653,66.290527,7995519
2000-01-19,110.480400,116.634796,107.731834,114.244743,68.438156,9031687
2000-01-20,117.590820,119.263863,113.766731,113.766731,68.151794,18601436
2000-01-21,116.515297,117.590820,114.663002,116.156792,69.583549,8230660
2000-01-24,116.515297,117.471321,111.436424,116.156792,69.583549,6798163
2000-01-25,111.615677,114.244743,110.898659,113.886230,68.223351,7255997
2000-01-26,113.826485,114.663002,110.898659,111.615677,66.863167,5120275
2000-01-27,112.810707,113.228966,106.716064,108.508606,65.001907,8707532
2000-01-28,107.791588,109.165871,105.222275,106.656311,63.892326,6976192
2000-01-31,106.477058,107.851341,104.804016,107.313576,64.286049,6488024
2000-02-01,107.433075,108.448853,104.326004,105.162521,62.997437,7640716
2000-02-02,107.074570,110.719406,105.521034,108.508606,65.001907,8062254
2000-02-03,109.942642,112.332695,109.046364,111.974190,67.077980,6499635
2000-02-04,112.989960,113.228966,109.763382,110.540154,66.218895,5653944
2000-02-07,110.898659,111.735184,108.150093,109.106117,65.359871,6045357
2000-02-08,111.794930,113.766731,111.077919,113.587479,68.116051,5715658
2000-02-09,113.766731,114.483749,111.854683,112.213196,67.291893,5621936
2000-02-10,112.511948,113.886230,111.735184,113.886230,68.295166,4651144
2000-02-11,113.826485,114.184990,109.524376,110.301147,66.145287,6013872
2000-02-14,110.898659,111.257172,109.464630,110.958412,66.539459,4753024
2000-02-15,110.779160,112.272942,108.867111,111.974190,67.148575,5415665
2000-02-16,111.376671,112.153442,110.181641,110.659653,66.360283,4149377
2000-02-17,111.376671,113.647224,110.659653,111.615677,66.933563,5478425
2000-02-18,110.181641,110.838913,106.596558,107.552582,64.497040,8026376
2000-02-22,107.074570,108.448853,103.967499,106.118546,63.637058,8006921
2000-02-23,105.640533,105.640533,103.728493,103.967499,62.347137,7777324
2000-02-24,104.027245,106.118546,103.429733,105.640533,63.350410,9531152
2000-02-25,105.043022,105.043022,100.322655,103.250481,61.917118,10786561
2000-02-28,100.023903,101.816444,99.366638,99.904396,59.910587,8869975
2000-02-29,100.920174,100.920174,96.498566,98.231361,58.907310,10967205
2000-03-01,97.514343,100.860420,95.662048,95.841301,57.474018,11304959
2000-03-02,96.080307,100.800667,95.124283,98.589867,59.122292,11707773
2000-03-03,102.533463,105.162521,101.398186,103.250481,61.917118,10630289
2000-03-06,105.102776,106.118546,96.558319,98.530113,59.086468,11241780
2000-03-07,101.338432,102.294456,97.215584,98.470360,59.050617,10496715
2000-03-08,98.470360,102.174950,98.231361,101.577438,60.913891,8761714
2000-03-09,101.816444,103.250481,99.545891,103.250481,61.917118,6625469
2000-03-10,102.891968,104.206497,100.382408,100.621414,60.340553,7419487
2000-03-13,99.426384,104.206497,97.992355,102.951721,61.738007,8233066
2000-03-14,103.011475,105.162521,102.652962,103.847992,62.275471,8340490
2000-03-15,102.772469,103.489487,101.457932,102.294456,61.343822,5926531
2000-03-16,104.206497,104.983269,103.130974,104.206497,62.490459,6927135
2000-03-17,103.489487,106.775810,102.951721,105.162521,63.063774,9264736
2000-03-20,105.162521,108.389099,105.102776,107.791588,64.640358,6865421
2000-03-21,107.851341,109.643883,107.014816,108.508606,65.070343,7083094
2000-03-22,109.464630,110.301147,108.867111,109.225624,65.500336,6420139
2000-03-23,110.779160,110.779160,106.716064,110.181641,66.073608,6791050
2000-03-24,110.301147,116.873802,110.002388,115.320267,69.155159,12683378
2000-03-27,119.502869,122.609940,119.144356,121.295410,72.738327,12408593
2000-03-28,120.219887,121.414917,116.694550,117.112808,70.230103,8524482
2000-03-29,116.933556,117.053062,113.288719,113.766731,68.223534,7648666
2000-03-30,113.647224,117.590820,113.467972,117.351814,70.373444,9579268
2000-03-31,117.232315,118.307838,111.914436,113.169212,67.865234,8383899
2000-04-03,114.722755,116.993309,114.184990,116.634796,69.943443,8070518
2000-04-04,116.156792,121.355164,110.002388,115.858032,69.477646,17433891
2000-04-05,115.200768,120.219887,114.483749,119.502869,71.663368,9093401
2000-04-06,118.068832,122.370934,117.232315,117.351814,70.373444,9296220
2000-04-07,118.068832,120.160133,116.156792,117.710327,70.588394,5627794
2000-04-10,119.263863,119.861374,116.216537,116.754303,70.015106,5760636
2000-04-11,116.276291,116.276291,112.631454,114.125237,68.438507,8094680
2000-04-12,114.364243,114.364243,106.775810,108.747612,65.213699,9293919
2000-04-13,107.552582,109.285370,105.162521,105.760040,63.422096,8615274
2000-04-14,104.983269,107.791588,98.350861,100.382408,60.197208,12323972
2000-04-17,99.306885,107.313576,98.769119,106.955070,64.138702,10428097
2000-04-18,107.313576,110.062141,105.222275,106.596558,63.923721,8582953
2000-04-19,104.923515,104.923515,98.291107,100.382408,60.197208,15349527
2000-04-20,100.382408,100.621414,97.574089,99.426384,59.623924,11122432
2000-04-24,97.514343,102.473709,96.797325,101.816444,61.057178,8915163
